ID_Venta,Fecha,Tienda,Ciudad,Producto,Categoría,Cantidad,Precio_Unitario
001,15/01/2023,T001,Madrid,Camisa Casual,Camisas,2,29.99
002,15/01/2023,T002,Barcelona,Vestido Floral,Vestidos,1,49.99
003,16/01/2023,T001,Madrid,Pantalón Vaquero,Pantalones,3,39.99
004,16/01/2023,T003,Valencia,Camisa Casual,Camisas,2,29.99
005,17/01/2023,T002,Barcelona,Falda Plisada,Faldas,1,34.99
006,17/01/2023,T001,Madrid,Camisa Casual,Camisas,1,29.99
007,18/01/2023,T003,Valencia,Pantalón Vaquero,Pantalones,2,39.99
008,18/01/2023,T002,Barcelona,Vestido Floral,Vestidos,3,49.99
009,19/01/2023,T001,Madrid,Falda Plisada,Faldas,2,34.99
010,19/01/2023,T003,Valencia,Vestido Floral,Vestidos,1,49.99
011,20/01/2023,T001,Madrid,Chaqueta Cuero,Abrigos,1,89.99
012,20/01/2023,T002,Barcelona,Pantalón Vaquero,Pantalones,2,39.99
013,21/01/2023,T003,Valencia,Blusa Seda,Blusas,3,45.50
014,21/01/2023,T004,Sevilla,Camisa Casual,Camisas,1,29.99
015,22/01/2023,T001,Madrid,Vestido Gala,Vestidos,1,129.99
016,22/01/2023,T002,Barcelona,Falda Plisada,Faldas,2,34.99
017,23/01/2023,T003,Valencia,Sudadera Deportiva,Deportiva,3,49.99
018,23/01/2023,T004,Sevilla,Pantalón Vaquero,Pantalones,1,39.99
019,24/01/2023,T001,Madrid,Blusa Seda,Blusas,2,45.50
020,24/01/2023,T002,Barcelona,Chaqueta Cuero,Abrigos,1,89.99
021,25/01/2023,T003,Valencia,Vestido Floral,Vestidos,1,49.99
022,25/01/2023,T004,Sevilla,Falda Vaquera,Faldas,2,42.99
023,26/01/2023,T001,Madrid,Pantalón Deportivo,Deportiva,3,35.50
024,26/01/2023,T002,Barcelona,Camisa Formal,Camisas,2,49.99
025,27/01/2023,T003,Valencia,Chaqueta Bomber,Abrigos,1,79.99
026,27/01/2023,T005,Bilbao,Vestido Casual,Vestidos,2,59.99
027,28/01/2023,T001,Madrid,Sudadera Capucha,Deportiva,3,39.99
028,28/01/2023,T005,Bilbao,Blusa Encaje,Blusas,1,55.99
029,29/01/2023,T002,Barcelona,Pantalón Formal,Pantalones,1,65.50
030,29/01/2023,T003,Valencia,Camisa Casual,Camisas,2,29.99
031,30/01/2023,T004,Sevilla,Vestido Verano,Vestidos,3,45.99
032,30/01/2023,T005,Bilbao,Falda Larga,Faldas,1,49.99
033,31/01/2023,T001,Madrid,Chaqueta Vaquera,Abrigos,2,69.99
034,31/01/2023,T002,Barcelona,Sudadera Básica,Deportiva,3,29.99
035,01/02/2023,T003,Valencia,Camisa Estampada,Camisas,2,35.99
036,01/02/2023,T004,Sevilla,Pantalón Chino,Pantalones,1,45.50
037,02/02/2023,T005,Bilbao,Blusa Estampada,Blusas,2,39.99
038,02/02/2023,T001,Madrid,Vestido Cóctel,Vestidos,1,79.99
039,03/02/2023,T002,Barcelona,Sudadera Logo,Deportiva,3,42.99
040,03/02/2023,T003,Valencia,Falda Midi,Faldas,2,38.50
041,04/02/2023,T004,Sevilla,Chaqueta Acolchada,Abrigos,1,99.99
042,04/02/2023,T005,Bilbao,Pantalón Pitillo,Pantalones,2,49.99
043,05/02/2023,T001,Madrid,Camisa Oxford,Camisas,3,42.50
044,05/02/2023,T002,Barcelona,Blusa Manga Larga,Blusas,1,39.99
045,06/02/2023,T003,Valencia,Vestido Largo,Vestidos,2,69.99
046,06/02/2023,T004,Sevilla,Falda Corta,Faldas,3,29.99
047,07/02/2023,T005,Bilbao,Sudadera Oversize,Deportiva,1,55.99
048,07/02/2023,T001,Madrid,Pantalón Cargo,Pantalones,2,59.99
049,08/02/2023,T002,Barcelona,Chaqueta Biker,Abrigos,1,110.50
050,08/02/2023,T003,Valencia,Camisa Rayas,Camisas,3,38.99
051,09/02/2023,T006,Zaragoza,Blusa Cuello V,Blusas,2,32.99
052,09/02/2023,T006,Zaragoza,Vestido Punto,Vestidos,1,65.50
053,10/02/2023,T004,Sevilla,Pantalón Ancho,Pantalones,3,48.99
054,10/02/2023,T005,Bilbao,Falda Tablas,Faldas,2,39.99
055,11/02/2023,T006,Zaragoza,Sudadera Cremallera,Deportiva,1,45.99
056,11/02/2023,T001,Madrid,Chaqueta Plumas,Abrigos,2,120.50
057,12/02/2023,T002,Barcelona,Camisa Lino,Camisas,3,49.99
058,12/02/2023,T003,Valencia,Pantalón Culotte,Pantalones,1,55.50
059,13/02/2023,T004,Sevilla,Blusa Volantes,Blusas,2,42.99
060,13/02/2023,T005,Bilbao,Vestido Camisero,Vestidos,1,59.99
061,14/02/2023,T006,Zaragoza,Falda Tubo,Faldas,3,39.99
062,14/02/2023,T001,Madrid,Sudadera Estampada,Deportiva,2,47.50
063,15/02/2023,T002,Barcelona,Chaqueta Blazer,Abrigos,1,85.99
064,15/02/2023,T003,Valencia,Pantalón Jogging,Deportiva,3,35.99
065,16/02/2023,T004,Sevilla,Camisa Denim,Camisas,2,45.50
066,16/02/2023,T005,Bilbao,Blusa Transparente,Blusas,1,49.99
067,17/02/2023,T006,Zaragoza,Vestido Ajustado,Vestidos,2,72.99
068,17/02/2023,T001,Madrid,Pantalón Legging,Deportiva,3,29.99
069,18/02/2023,T002,Barcelona,Falda Asimétrica,Faldas,1,48.50
070,18/02/2023,T003,Valencia,Chaqueta Cortavientos,Deportiva,2,65.99
071,19/02/2023,T007,Málaga,Sudadera Crop,Deportiva,3,32.99
072,19/02/2023,T007,Málaga,Camisa Oversize,Camisas,1,39.99
073,20/02/2023,T004,Sevilla,Blusa Bohemia,Blusas,2,47.99
074,20/02/2023,T005,Bilbao,Pantalón Palazzo,Pantalones,3,58.50
075,21/02/2023,T006,Zaragoza,Vestido Tirantes,Vestidos,1,39.99
076,21/02/2023,T007,Málaga,Chaqueta Sastre,Abrigos,2,95.99
077,22/02/2023,T001,Madrid,Falda Pareo,Faldas,3,29.99
078,22/02/2023,T002,Barcelona,Camisa Cuadros,Camisas,1,37.50
079,23/02/2023,T003,Valencia,Sudadera Universitaria,Deportiva,2,49.99
080,23/02/2023,T004,Sevilla,Pantalón Cuero,Pantalones,1,85.99
081,24/02/2023,T005,Bilbao,Blusa Espalda Abierta,Blusas,3,42.50
082,24/02/2023,T006,Zaragoza,Vestido Tejido,Vestidos,2,68.99
083,25/02/2023,T007,Málaga,Chaqueta Tweed,Abrigos,1,105.50
084,25/02/2023,T001,Madrid,Pantalón Pinzas,Pantalones,3,59.99
085,26/02/2023,T002,Barcelona,Falda Lunares,Faldas,2,34.99
086,26/02/2023,T003,Valencia,Camisa Manga Corta,Camisas,1,32.50
087,27/02/2023,T004,Sevilla,Blusa Lazada,Blusas,3,39.99
088,27/02/2023,T005,Bilbao,Sudadera Hoodie,Deportiva,2,47.99
089,28/02/2023,T006,Zaragoza,Vestido Wrap,Vestidos,1,59.99
090,28/02/2023,T007,Málaga,Pantalón Bermuda,Pantalones,3,32.99
091,01/03/2023,T001,Madrid,Chaqueta Kimono,Abrigos,2,75.50
092,01/03/2023,T002,Barcelona,Falda Flecos,Faldas,1,45.99
093,02/03/2023,T003,Valencia,Camisa Hawaiana,Camisas,3,39.99
094,02/03/2023,T004,Sevilla,Blusa Crochet,Blusas,2,48.50
095,03/03/2023,T005,Bilbao,Vestido Estampado,Vestidos,1,62.99
096,03/03/2023,T006,Zaragoza,Pantalón Pesquero,Pantalones,3,42.50
097,04/03/2023,T007,Málaga,Sudadera Sin Capucha,Deportiva,2,35.99
098,04/03/2023,T001,Madrid,Chaqueta Cárdigan,Abrigos,1,69.99
099,05/03/2023,T002,Barcelona,Camisa Popelín,Camisas,3,45.50
100,05/03/2023,T003,Valencia,Falda Cuadros,Faldas,2,38.99
